date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:33:36	2293/2293	---M--	200	added ('OK')	text/html	etag:%22638d9312-8f5%22	https://www.doenets.lk/robots.txt		(from )
21:33:36	2293/2293	---M--	200	added ('OK')	text/html	etag:%22638d9312-8f5%22	https://www.doenets.lk/	C:/My%20Web%20Sites/exam%20result%20sedfr/www.doenets.lk/index.html	(from )
21:33:37	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2006%20Sep%202023%2016:03:37%20GMT	http://www.doenets.lk/favicon.ico	C:/My%20Web%20Sites/exam%20result%20sedfr/www.doenets.lk/favicon.0.delayed	(from https://www.doenets.lk/)
21:33:38	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2006%20Sep%202023%2016:03:38%20GMT	http://www.doenets.lk/assets/vendor/fonts/fontawesome.css	C:/My%20Web%20Sites/exam%20result%20sedfr/www.doenets.lk/assets/vendor/fonts/fontawesome.css	(from https://www.doenets.lk/)
21:33:40	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2006%20Sep%202023%2016:03:40%20GMT	http://www.doenets.lk/assets/vendor/fonts/ionicons.css	C:/My%20Web%20Sites/exam%20result%20sedfr/www.doenets.lk/assets/vendor/fonts/ionicons.css	(from https://www.doenets.lk/)
21:33:40	52372/52372	---M--	200	added ('OK')	text/css	etag:%22638d9312-cc94%22	https://www.doenets.lk:443/assets/vendor/fonts/fontawesome.css	C:/My%20Web%20Sites/exam%20result%20sedfr/www.doenets.lk_443/assets/vendor/fonts/fontawesome.css	(from https://www.doenets.lk/)
21:33:41	47300/47300	---M--	200	added ('OK')	text/css	etag:%22638d9312-b8c4%22	https://www.doenets.lk:443/assets/vendor/fonts/ionicons.css	C:/My%20Web%20Sites/exam%20result%20sedfr/www.doenets.lk_443/assets/vendor/fonts/ionicons.css	(from https://www.doenets.lk/)
21:33:41	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2006%20Sep%202023%2016:03:40%20GMT	http://www.doenets.lk/assets/css/animate.min.css	C:/My%20Web%20Sites/exam%20result%20sedfr/www.doenets.lk/assets/css/animate.min.css	(from https://www.doenets.lk/)
21:33:43	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2006%20Sep%202023%2016:03:42%20GMT	http://www.doenets.lk/assets/vendor/js/layout-helpers.js	C:/My%20Web%20Sites/exam%20result%20sedfr/www.doenets.lk/assets/vendor/js/layout-helpers.js	(from https://www.doenets.lk/)
21:33:43	57997/57997	---M--	200	added ('OK')	text/css	etag:%22638d9312-e28d%22	https://www.doenets.lk:443/assets/css/animate.min.css	C:/My%20Web%20Sites/exam%20result%20sedfr/www.doenets.lk_443/assets/css/animate.min.css	(from https://www.doenets.lk/)
21:33:44	12412/12412	---M--	200	added ('OK')	application/javascript	etag:%22638d9312-307c%22	https://www.doenets.lk:443/assets/vendor/js/layout-helpers.js	C:/My%20Web%20Sites/exam%20result%20sedfr/www.doenets.lk_443/assets/vendor/js/layout-helpers.js	(from https://www.doenets.lk/)
21:33:45	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2006%20Sep%202023%2016:03:45%20GMT	http://www.doenets.lk/styles.85ae39be287006094234.css	C:/My%20Web%20Sites/exam%20result%20sedfr/www.doenets.lk/styles.85ae39be287006094234.css	(from https://www.doenets.lk/)
21:33:47	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2006%20Sep%202023%2016:03:46%20GMT	http://www.doenets.lk/runtime.f390748d8234f5100c0d.js	C:/My%20Web%20Sites/exam%20result%20sedfr/www.doenets.lk/runtime.f390748d8234f5100c0d.js	(from https://www.doenets.lk/)
21:33:48	2586/2586	---M--	200	added ('OK')	application/javascript	etag:%22638d9312-a1a%22	https://www.doenets.lk:443/runtime.f390748d8234f5100c0d.js	C:/My%20Web%20Sites/exam%20result%20sedfr/www.doenets.lk_443/runtime.f390748d8234f5100c0d.js	(from https://www.doenets.lk/)
21:33:49	447710/447710	---M--	200	added ('OK')	text/css	etag:%22638d9312-6d4de%22	https://www.doenets.lk:443/styles.85ae39be287006094234.css	C:/My%20Web%20Sites/exam%20result%20sedfr/www.doenets.lk_443/styles.85ae39be287006094234.css	(from https://www.doenets.lk/)
21:33:49	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2006%20Sep%202023%2016:03:48%20GMT	http://www.doenets.lk/polyfills.4298fc0dd62fe01aeafe.js	C:/My%20Web%20Sites/exam%20result%20sedfr/www.doenets.lk/polyfills.4298fc0dd62fe01aeafe.js	(from https://www.doenets.lk/)
21:33:50	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2006%20Sep%202023%2016:03:50%20GMT	http://www.doenets.lk/main.096c89b1433486fd7261.js	C:/My%20Web%20Sites/exam%20result%20sedfr/www.doenets.lk/main.096c89b1433486fd7261.js	(from https://www.doenets.lk/)
21:33:51	40460/40460	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22638d9312-9e0c%22	https://www.doenets.lk:443/assets/vendor/fonts/fontawesome/fa-regular-400.eot	C:/My%20Web%20Sites/exam%20result%20sedfr/www.doenets.lk_443/assets/vendor/fonts/fontawesome/fa-regular-400.eot	(from https://www.doenets.lk:443/assets/vendor/fonts/fontawesome.css)
